Question,Given the spectral band values for a pixel: [Red = 0.15, Green = 0.35, Blue = 0.20, NIR = 0.60], write Python code to compute NDVI and classify the pixel as ‘vegetation’, ‘water’, or ‘urban’ based on NDVI thresholds.

"Participant Id","Display Name","Submitted At","Opinion Id","Opinion","Rank","Of","Rating","Votes","Created At"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f96108e3c81a9869bc43c9","option_2",1,4,100,5,"22 Oct 2025, 10:56 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f96081c9f4b37f1ae8690e","option_1",2,4,50,5,"22 Oct 2025, 10:53 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f96110c9f4b37f1ae87d9a","option_3",3,4,33.333333333333336,5,"22 Oct 2025, 10:56 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f96117c9f4b37f1ae87db2","option_4",4,4,25,5,"22 Oct 2025, 10:56 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f96108e3c81a9869bc43c9","option_2",1,4,100,5,"22 Oct 2025, 10:56 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f96117c9f4b37f1ae87db2","option_4",2,4,50,5,"22 Oct 2025, 10:56 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f96110c9f4b37f1ae87d9a","option_3",3,4,33.333333333333336,5,"22 Oct 2025, 10:56 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f96081c9f4b37f1ae8690e","option_1",4,4,25,5,"22 Oct 2025, 10:53 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f96110c9f4b37f1ae87d9a","option_3",1,4,100,5,"22 Oct 2025, 10:56 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f96108e3c81a9869bc43c9","option_2",2,4,50,5,"22 Oct 2025, 10:56 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f96117c9f4b37f1ae87db2","option_4",3,4,33.333333333333336,5,"22 Oct 2025, 10:56 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f96081c9f4b37f1ae8690e","option_1",4,4,25,5,"22 Oct 2025, 10:53 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f96081c9f4b37f1ae8690e","option_1",1,4,100,5,"22 Oct 2025, 10:53 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f96110c9f4b37f1ae87d9a","option_3",2,4,50,5,"22 Oct 2025, 10:56 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f96108e3c81a9869bc43c9","option_2",3,4,33.333333333333336,5,"22 Oct 2025, 10:56 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f96117c9f4b37f1ae87db2","option_4",4,4,25,5,"22 Oct 2025, 10:56 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f96110c9f4b37f1ae87d9a","option_3",1,4,100,5,"22 Oct 2025, 10:56 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f96108e3c81a9869bc43c9","option_2",2,4,50,5,"22 Oct 2025, 10:56 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f96081c9f4b37f1ae8690e","option_1",3,4,33.333333333333336,5,"22 Oct 2025, 10:53 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f96117c9f4b37f1ae87db2","option_4",4,4,25,5,"22 Oct 2025, 10:56 pm"
